age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
36,management,married,tertiary,no,0,yes,no,unknown,27,may,145,2,-1,0,unknown,no
21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown,no
50,services,single,secondary,no,1716,yes,no,cellular,7,apr,272,1,-1,0,unknown,no
30,management,single,secondary,no,1299,no,no,cellular,14,aug,515,2,-1,0,unknown,no
42,admin.,divorced,secondary,no,241,yes,no,cellular,15,may,1012,3,-1,0,unknown,yes
63,self-employed,married,tertiary,no,-39,no,no,cellular,1,apr,387,2,-1,0,unknown,yes
38,management,single,tertiary,no,8669,yes,no,telephone,20,apr,5,3,150,6,failure,no
39,housemaid,married,tertiary,no,94,no,no,cellular,6,aug,181,2,-1,0,unknown,no
43,self-employed,divorced,secondary,no,347,no,no,cellular,19,nov,1468,3,-1,0,unknown,yes
38,management,married,tertiary,no,1223,no,no,cellular,12,aug,1092,5,-1,0,unknown,yes
38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,unknown,yes
31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes
54,technician,married,secondary,no,473,no,yes,cellular,2,nov,182,1,81,1,failure,yes
34,entrepreneur,married,secondary,no,3119,yes,no,unknown,21,may,250,4,-1,0,unknown,no
50,entrepreneur,married,tertiary,no,-168,yes,no,cellular,23,jul,1327,2,-1,0,unknown,yes
34,admin.,married,secondary,no,2064,yes,no,unknown,26,may,165,2,-1,0,unknown,no
49,admin.,single,secondary,no,716,yes,no,unknown,15,may,1257,3,-1,0,unknown,yes
41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,-1,0,unknown,yes
52,technician,married,secondary,no,930,yes,no,unknown,2,jun,94,16,-1,0,unknown,no
47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown,yes
31,management,single,tertiary,no,1761,yes,no,telephone,29,jul,332,3,440,3,failure,yes
37,management,single,tertiary,no,876,yes,no,cellular,15,apr,140,4,327,2,failure,no
56,housemaid,married,primary,no,445,no,no,cellular,21,nov,13,6,-1,0,unknown,no
30,entrepreneur,married,secondary,no,12737,no,yes,cellular,19,nov,589,2,-1,0,unknown,yes
37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success,yes
50,entrepreneur,married,secondary,no,2731,no,no,cellular,8,aug,111,2,-1,0,unknown,no
36,technician,single,secondary,no,2511,yes,no,cellular,16,apr,700,5,-1,0,unknown,yes
28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,1,-1,0,unknown,yes
45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,1,208,1,failure,no
36,management,single,unknown,no,62,no,no,cellular,13,jul,311,1,91,2,success,yes
29,unemployed,single,unknown,no,1584,no,no,cellular,6,sep,245,1,-1,0,unknown,yes
45,blue-collar,single,secondary,no,0,yes,no,cellular,16,oct,283,1,165,3,failure,no
34,admin.,married,secondary,no,-312,yes,no,unknown,9,may,232,1,-1,0,unknown,no
31,services,single,secondary,no,1709,no,yes,telephone,28,jan,944,3,-1,0,unknown,yes
60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,3,-1,0,unknown,yes
37,management,married,tertiary,no,5016,no,no,cellular,8,aug,119,1,-1,0,unknown,no
36,technician,married,secondary,no,3579,no,no,cellular,14,aug,308,2,-1,0,unknown,no
60,retired,married,secondary,no,0,yes,no,unknown,15,may,229,1,-1,0,unknown,no
35,blue-collar,married,primary,no,624,yes,no,unknown,7,may,163,1,-1,0,unknown,no
61,retired,married,secondary,no,77,no,no,cellular,6,aug,455,4,-1,0,unknown,yes
31,admin.,single,secondary,no,81,yes,no,cellular,23,apr,215,2,165,11,other,no
46,management,married,tertiary,no,273,yes,no,cellular,15,sep,1962,1,105,3,failure,yes
47,technician,divorced,secondary,no,1851,yes,no,unknown,19,may,140,2,-1,0,unknown,no
43,blue-collar,married,primary,no,8,no,no,telephone,7,jul,245,5,-1,0,unknown,no
59,management,divorced,tertiary,no,1304,no,no,unknown,18,jun,220,1,-1,0,unknown,no
47,blue-collar,married,primary,no,4040,no,no,cellular,11,aug,53,5,-1,0,unknown,no
43,management,married,tertiary,no,839,no,no,cellular,22,jul,942,1,-1,0,unknown,yes
57,management,married,tertiary,no,3431,yes,no,unknown,16,may,73,1,-1,0,unknown,no
57,technician,married,secondary,no,295,no,no,cellular,19,aug,151,11,-1,0,unknown,no
53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes
80,retired,married,primary,no,2994,no,no,cellular,6,aug,320,1,-1,0,unknown,no
39,management,married,tertiary,no,271,yes,no,cellular,12,aug,1344,1,-1,0,unknown,yes
41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,-1,0,unknown,no
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes
35,management,single,tertiary,no,538,no,no,cellular,22,dec,410,3,165,2,other,yes
38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,425,4,-1,0,unknown,no
48,unknown,single,unknown,no,1819,no,no,cellular,2,sep,1440,1,458,1,failure,yes
66,retired,married,secondary,no,2326,no,yes,cellular,18,feb,232,1,181,1,success,yes
30,management,married,tertiary,no,131,yes,no,cellular,11,aug,384,6,-1,0,unknown,yes
47,blue-collar,married,secondary,no,8229,no,no,cellular,8,aug,784,2,-1,0,unknown,yes
38,services,married,secondary,no,968,yes,no,cellular,6,apr,272,1,-1,0,unknown,no
57,retired,married,primary,no,207,yes,no,unknown,8,may,193,1,-1,0,unknown,no
32,services,single,secondary,no,182,yes,no,cellular,6,may,145,1,-1,0,unknown,no
61,blue-collar,married,primary,no,5,no,no,cellular,6,aug,562,2,94,3,success,yes
51,blue-collar,married,tertiary,no,7816,yes,no,unknown,12,may,76,2,-1,0,unknown,no
48,management,married,tertiary,no,1167,yes,yes,cellular,1,jun,264,1,-1,0,unknown,yes
39,services,married,secondary,no,25,yes,yes,cellular,12,may,658,1,351,3,failure,yes
45,admin.,divorced,secondary,no,2353,yes,no,cellular,5,mar,182,1,107,2,other,yes
22,student,single,secondary,no,2162,no,no,telephone,2,feb,168,1,-1,0,unknown,no
36,unemployed,single,tertiary,no,221,no,no,cellular,3,feb,225,4,-1,0,unknown,no
32,blue-collar,married,secondary,no,3166,yes,no,cellular,20,nov,418,3,-1,0,unknown,no
27,student,single,tertiary,no,311,no,no,cellular,28,jul,462,1,148,4,success,yes
47,management,married,tertiary,no,60,no,no,unknown,2,jun,282,7,-1,0,unknown,no
55,retired,married,tertiary,no,2929,no,no,unknown,16,jun,556,3,-1,0,unknown,no
34,management,single,tertiary,no,5,no,no,cellular,18,aug,370,2,-1,0,unknown,yes
45,blue-collar,married,secondary,no,61,yes,yes,unknown,23,may,208,1,-1,0,unknown,no
41,technician,married,secondary,no,188,no,yes,telephone,31,jul,15,25,-1,0,unknown,no
65,retired,married,primary,no,343,no,no,telephone,5,feb,159,2,-1,0,unknown,no
47,retired,married,secondary,no,-71,yes,no,cellular,11,aug,293,5,-1,0,unknown,no
39,management,single,secondary,no,120,no,no,unknown,12,jun,66,1,-1,0,unknown,no
38,technician,single,tertiary,no,5122,yes,no,cellular,20,nov,370,1,184,1,failure,no
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,yes
38,technician,married,secondary,no,497,no,no,unknown,14,apr,173,1,-1,0,unknown,yes
34,management,married,tertiary,no,0,yes,no,cellular,3,feb,251,1,-1,0,unknown,yes
52,technician,married,secondary,no,475,yes,no,cellular,28,jul,121,3,-1,0,unknown,no
46,blue-collar,married,secondary,no,640,yes,no,cellular,12,mar,215,1,182,4,success,yes
70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196,2,success,yes
47,blue-collar,single,unknown,no,2443,no,no,unknown,18,jun,422,1,-1,0,unknown,no
93,retired,married,unknown,no,775,no,no,cellular,4,aug,476,2,13,9,success,yes
54,technician,single,secondary,no,224,no,no,cellular,5,aug,134,2,-1,0,unknown,no
48,services,single,primary,no,-139,no,no,cellular,13,may,75,2,-1,0,unknown,no
33,management,single,tertiary,no,5437,no,no,cellular,7,oct,201,1,58,3,failure,yes
77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,yes
26,blue-collar,single,secondary,no,-46,yes,no,unknown,20,jun,382,7,-1,0,unknown,yes
56,admin.,married,secondary,no,5310,no,no,unknown,19,jun,74,1,-1,0,unknown,no
52,blue-collar,divorced,primary,no,2800,no,no,unknown,19,jun,149,1,-1,0,unknown,no
26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,-1,0,unknown,yes
36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,1008,1,347,2,success,yes
49,management,married,tertiary,no,2139,no,no,cellular,5,aug,278,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1779,yes,no,unknown,5,jun,85,2,-1,0,unknown,no
56,management,married,primary,no,7747,no,no,unknown,5,jun,103,2,-1,0,unknown,no
31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,-1,0,unknown,yes
90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,-1,0,unknown,yes
40,services,single,secondary,no,19343,yes,no,cellular,21,nov,13,4,179,4,failure,no
30,services,married,secondary,no,271,yes,no,unknown,15,may,365,1,-1,0,unknown,no
41,technician,divorced,secondary,no,75,no,no,cellular,20,aug,351,2,-1,0,unknown,no
47,unknown,married,unknown,no,677,no,no,cellular,30,apr,900,2,86,2,failure,yes
30,entrepreneur,single,secondary,no,732,no,no,cellular,3,feb,1404,4,-1,0,unknown,yes
53,blue-collar,married,secondary,no,974,yes,no,unknown,26,may,197,2,-1,0,unknown,no
36,management,married,tertiary,no,255,no,no,cellular,22,may,970,2,92,2,other,yes
47,unemployed,divorced,secondary,no,947,no,no,cellular,5,feb,124,2,-1,0,unknown,no
40,technician,divorced,secondary,no,0,no,no,cellular,7,aug,674,2,-1,0,unknown,yes
46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,-1,0,unknown,yes
60,blue-collar,married,secondary,no,19447,yes,no,telephone,9,jul,196,1,-1,0,unknown,no
57,housemaid,married,primary,no,260,yes,no,unknown,16,may,38,3,-1,0,unknown,no
72,self-employed,married,tertiary,no,132,no,no,cellular,1,jul,260,2,65,1,success,yes
41,management,married,tertiary,no,1092,no,no,cellular,5,aug,736,1,-1,0,unknown,yes
27,management,single,tertiary,no,107,no,no,cellular,18,oct,767,3,-1,0,unknown,yes
38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
51,unemployed,married,secondary,no,234,no,no,cellular,22,aug,735,1,-1,0,unknown,yes
50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,-1,0,unknown,yes
45,blue-collar,married,secondary,no,28,no,yes,cellular,4,feb,215,1,222,1,other,no
39,admin.,single,secondary,no,14,yes,yes,unknown,13,may,19,9,-1,0,unknown,no
52,housemaid,married,primary,no,10943,no,no,cellular,16,sep,292,1,-1,0,unknown,yes
73,retired,married,primary,no,542,no,no,telephone,29,apr,107,5,-1,0,unknown,no
37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,2,-1,0,unknown,yes
36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,yes
51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,jul,574,2,-1,0,unknown,yes
49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,205,1,95,1,success,yes
29,admin.,single,secondary,no,27,yes,no,cellular,6,may,754,1,-1,0,unknown,yes
32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,-1,0,unknown,yes
33,admin.,married,secondary,no,920,no,no,cellular,13,aug,111,1,105,1,success,no
39,blue-collar,married,secondary,no,39,yes,no,unknown,18,jun,34,6,-1,0,unknown,no
52,management,married,tertiary,no,499,no,no,cellular,6,aug,115,4,-1,0,unknown,no
56,retired,divorced,primary,no,694,no,no,cellular,29,jan,144,1,102,1,other,yes
31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,yes
38,services,single,primary,no,-87,yes,no,cellular,13,may,531,1,-1,0,unknown,no
61,retired,married,secondary,no,243,no,no,cellular,20,apr,194,1,-1,0,unknown,yes
45,admin.,married,secondary,no,1206,no,no,telephone,8,feb,309,1,446,3,failure,yes
35,blue-collar,single,primary,no,-276,yes,no,cellular,13,may,850,1,-1,0,unknown,yes
43,services,married,secondary,no,2145,no,no,cellular,22,may,271,1,183,3,failure,yes
36,management,married,tertiary,no,242,yes,no,cellular,14,may,20,1,-1,0,unknown,no
38,management,married,tertiary,no,0,yes,no,cellular,30,apr,571,1,-1,0,unknown,yes
44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,-1,0,unknown,yes
38,blue-collar,single,secondary,no,1121,no,no,unknown,18,jun,203,1,-1,0,unknown,no
34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,-1,0,unknown,yes
59,management,married,tertiary,no,2239,no,no,cellular,22,may,431,1,-1,0,unknown,yes
25,management,single,tertiary,no,943,no,no,cellular,30,apr,512,1,-1,0,unknown,yes
25,management,single,tertiary,no,490,no,no,cellular,7,sep,394,1,-1,0,unknown,no
66,admin.,divorced,secondary,no,220,no,no,cellular,28,aug,283,1,-1,0,unknown,no
54,technician,single,tertiary,no,118,no,no,cellular,5,apr,280,1,-1,0,unknown,yes
49,blue-collar,married,secondary,no,1127,yes,yes,cellular,17,apr,162,2,281,1,failure,no
47,management,married,primary,no,4151,yes,no,unknown,14,may,114,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,yes
51,retired,married,primary,no,1495,no,no,telephone,25,jul,1946,4,-1,0,unknown,yes
31,management,single,tertiary,no,307,no,no,cellular,8,jul,361,1,229,2,failure,yes
39,management,single,tertiary,no,763,no,no,cellular,22,feb,543,1,189,1,failure,yes
50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure,yes
39,blue-collar,married,primary,no,34,yes,no,unknown,27,may,114,1,-1,0,unknown,no
30,technician,single,tertiary,no,0,no,no,cellular,22,aug,34,2,-1,0,unknown,no
60,retired,married,tertiary,no,0,no,no,cellular,25,aug,101,3,-1,0,unknown,no
30,technician,single,secondary,no,9645,no,yes,cellular,26,aug,130,10,-1,0,unknown,no
47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,no
42,management,married,tertiary,no,976,no,no,cellular,19,aug,164,1,-1,0,unknown,yes
32,management,single,tertiary,no,131,no,no,unknown,3,jun,267,3,-1,0,unknown,no
31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,548,2,-1,0,unknown,yes
38,blue-collar,married,primary,no,178,yes,no,unknown,20,may,245,1,-1,0,unknown,no
31,technician,married,secondary,no,450,no,yes,cellular,20,nov,111,2,129,4,failure,no
32,unemployed,married,secondary,no,365,yes,no,cellular,30,jan,210,3,-1,0,unknown,no
30,management,single,tertiary,no,2708,no,no,cellular,19,nov,479,1,-1,0,unknown,no
32,admin.,divorced,secondary,no,-331,yes,yes,unknown,26,may,130,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,3935,yes,yes,unknown,27,may,220,6,-1,0,unknown,no
27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,2,-1,0,unknown,yes
50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,-1,0,unknown,yes
37,technician,single,tertiary,no,147,no,no,unknown,7,may,416,2,-1,0,unknown,no
25,admin.,single,secondary,no,483,no,yes,cellular,3,feb,189,1,-1,0,unknown,yes
42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown,no
32,self-employed,married,primary,no,102,yes,no,cellular,18,jul,560,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes
33,admin.,married,secondary,no,2,yes,no,unknown,20,may,201,1,-1,0,unknown,no
31,admin.,married,secondary,no,685,yes,no,cellular,15,may,552,1,329,3,failure,yes
35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,472,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,1756,yes,no,cellular,3,apr,939,1,-1,0,unknown,yes
52,retired,married,tertiary,no,350,no,yes,cellular,9,jul,156,1,-1,0,unknown,no
51,housemaid,married,primary,no,1337,no,no,telephone,30,jul,74,6,-1,0,unknown,no
28,blue-collar,married,secondary,no,948,yes,no,unknown,9,may,455,1,-1,0,unknown,no
47,admin.,married,secondary,no,368,no,no,cellular,23,feb,269,1,187,5,success,yes
33,blue-collar,married,secondary,no,661,yes,no,cellular,18,jul,968,1,-1,0,unknown,yes
30,admin.,single,secondary,no,-36,no,no,cellular,16,jul,561,9,-1,0,unknown,yes
30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
43,blue-collar,married,primary,no,3064,yes,no,cellular,20,nov,2453,2,-1,0,unknown,yes
46,management,married,tertiary,no,242,no,no,cellular,4,aug,120,2,96,1,success,yes
69,technician,married,secondary,no,9064,no,no,cellular,7,aug,714,1,-1,0,unknown,yes
44,entrepreneur,married,tertiary,no,121,no,no,cellular,10,aug,412,1,-1,0,unknown,yes
43,management,single,tertiary,no,1806,yes,no,cellular,12,aug,161,2,-1,0,unknown,no
35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,-1,0,unknown,yes
26,blue-collar,single,primary,no,102,yes,no,unknown,16,may,46,1,-1,0,unknown,no
46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,yes
52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure,yes
35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,yes
40,technician,married,secondary,no,990,yes,no,cellular,6,feb,252,3,-1,0,unknown,no
29,technician,single,tertiary,no,542,yes,no,unknown,9,may,338,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,62,yes,no,cellular,7,may,877,3,-1,0,unknown,yes
48,management,married,primary,no,1513,no,no,cellular,29,jan,166,2,-1,0,unknown,no
37,technician,single,tertiary,no,0,yes,no,cellular,23,jul,366,6,-1,0,unknown,yes
41,blue-collar,married,secondary,no,4910,yes,no,cellular,3,apr,1090,1,-1,0,unknown,no
32,management,single,tertiary,no,7290,yes,no,cellular,18,may,357,1,-1,0,unknown,yes
29,blue-collar,single,secondary,no,202,no,no,cellular,30,jan,128,2,-1,0,unknown,no
57,management,married,secondary,no,0,no,no,cellular,28,jan,132,1,-1,0,unknown,no
47,housemaid,married,primary,no,0,yes,no,telephone,24,jul,193,1,-1,0,unknown,no
60,retired,married,tertiary,no,846,no,no,telephone,26,may,1346,1,-1,0,unknown,yes
35,admin.,married,secondary,no,907,no,yes,unknown,2,jul,97,4,-1,0,unknown,no
56,management,married,tertiary,no,25290,no,no,cellular,31,jul,81,12,-1,0,unknown,no
53,admin.,married,secondary,no,10541,no,no,cellular,9,nov,178,1,-1,0,unknown,yes
37,services,married,secondary,no,4151,yes,yes,cellular,30,jul,543,4,-1,0,unknown,yes
27,technician,single,tertiary,no,-67,yes,no,cellular,6,apr,604,3,236,2,failure,yes
30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
37,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46,1,-1,0,unknown,no
35,services,married,unknown,no,618,no,no,cellular,30,apr,951,1,-1,0,unknown,yes
53,admin.,married,secondary,no,3765,no,no,unknown,20,jun,1094,3,-1,0,unknown,yes
59,housemaid,married,primary,no,235,no,no,cellular,13,aug,119,2,-1,0,unknown,no
28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
82,retired,married,primary,no,243,no,no,cellular,26,jul,275,1,180,2,success,yes
45,management,married,tertiary,no,160,no,no,cellular,10,nov,182,2,194,1,success,yes
77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,1,-1,0,unknown,yes
39,services,married,secondary,no,208,no,yes,cellular,9,feb,122,2,-1,0,unknown,no
34,services,married,primary,no,31,no,yes,cellular,9,jul,53,3,-1,0,unknown,no
27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,-1,0,unknown,no
38,management,married,secondary,no,3840,yes,yes,cellular,17,nov,62,1,-1,0,unknown,no
41,unemployed,married,secondary,no,0,yes,yes,cellular,5,may,400,1,-1,0,unknown,yes
31,unemployed,single,primary,no,163,no,no,cellular,30,jan,707,2,2,1,other,yes
50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no
35,admin.,single,secondary,no,0,yes,no,cellular,8,may,376,3,-1,0,unknown,no
48,management,married,tertiary,no,5320,yes,no,unknown,20,jun,792,1,-1,0,unknown,yes
73,retired,married,unknown,no,739,no,no,cellular,11,sep,210,1,-1,0,unknown,yes
39,management,single,unknown,no,2887,yes,no,unknown,7,may,42,2,-1,0,unknown,no
46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,2,-1,0,unknown,yes
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
50,admin.,married,secondary,no,3608,yes,no,cellular,14,may,196,8,182,4,success,yes
67,retired,married,tertiary,no,1341,no,no,cellular,13,feb,706,1,-1,0,unknown,yes
47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,unknown,no
31,services,single,secondary,no,-475,yes,no,telephone,12,may,232,3,-1,0,unknown,no
33,unemployed,single,secondary,no,682,no,no,cellular,5,feb,251,1,-1,0,unknown,no
53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure,no
53,housemaid,married,primary,no,0,no,no,unknown,24,jun,51,8,-1,0,unknown,no
44,housemaid,single,secondary,no,299,no,no,cellular,20,nov,186,1,-1,0,unknown,no
45,self-employed,divorced,tertiary,yes,75,yes,yes,cellular,4,feb,236,1,-1,0,unknown,no
42,entrepreneur,married,primary,no,558,yes,no,cellular,6,may,186,2,-1,0,unknown,no
25,admin.,single,secondary,no,285,no,no,cellular,3,jul,658,3,-1,0,unknown,yes
31,management,single,tertiary,no,354,no,no,cellular,21,apr,242,2,-1,0,unknown,yes
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102,14,-1,0,unknown,no
53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,no
60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
38,management,single,tertiary,no,1515,yes,no,telephone,31,jul,42,5,-1,0,unknown,no
55,unemployed,married,primary,no,1212,no,no,cellular,31,aug,241,1,92,1,failure,no
36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,5,failure,yes
37,management,married,tertiary,no,108,yes,yes,cellular,4,jun,262,2,-1,0,unknown,yes
42,technician,married,secondary,no,2,no,no,unknown,29,may,249,2,-1,0,unknown,no
72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success,yes
33,housemaid,single,tertiary,no,1107,yes,no,cellular,18,mar,201,1,-1,0,unknown,yes
30,blue-collar,single,secondary,no,80,yes,yes,cellular,5,may,145,1,337,4,failure,no
38,unemployed,single,secondary,no,804,no,no,cellular,1,jun,1087,1,-1,0,unknown,yes
57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,unknown,no
43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,-1,0,unknown,yes
26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
85,retired,divorced,primary,no,7613,no,no,cellular,18,feb,355,3,-1,0,unknown,yes
47,admin.,married,unknown,no,989,no,no,unknown,19,jun,116,1,-1,0,unknown,no
68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success,yes
39,blue-collar,married,secondary,no,167,yes,yes,cellular,12,may,612,1,-1,0,unknown,yes
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes
38,blue-collar,married,secondary,no,961,yes,no,unknown,16,may,346,1,-1,0,unknown,no
30,management,married,tertiary,no,7,yes,no,cellular,28,aug,173,1,164,4,other,yes
36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
43,technician,married,tertiary,no,4333,yes,no,cellular,20,nov,1490,3,-1,0,unknown,yes
50,management,single,tertiary,no,3537,no,no,unknown,24,oct,305,1,-1,0,unknown,yes
59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes
47,management,married,unknown,no,4567,no,no,telephone,31,jul,921,4,-1,0,unknown,no
